Board,Solution,Difficulty
.895.4..145.2318.71..8.7.64.4..1578.978.2.315.31789.2....6....2214..8.5.3.5...97.,789564231456231897123897564642315789978426315531789426897653142214978653365142978,Easy
...879.5.5132...979.713.26.3.67.84.1.7..1.536.41.6378...8..16.5465.8731.13..54.7.,624879153513246897987135264356798421879412536241563789798321645465987312132654978,Easy
142.6.......89714.9...14.53564789..123.4.689....12.5644.....3.5789531..6..56..78.,142365978653897142978214653564789231231456897897123564426978315789531426315642789,Easy
.6478..5...7..5.6215.4..79.5.697.124.2..53.8.789..26..3..56.879.458..2..978.315..,264789351897315462153426798536978124421653987789142635312564879645897213978231546,Easy
7.93..546..6..821.1236.5..9.6.7..12421453.9.7.97.216.5642.9..5153126.7..97....462,789312546456978213123645879365789124214536987897421635642897351531264798978153462,Easy
89.6241.31.39.....264.13..7.36..178...935..2.421....36..8.65..264.1.29.831279.6..,897624153153987264264513897536241789789356421421879536978465312645132978312798645,Easy
1..26.978..7153.4.264.975...367.92.478...13.5...5...976..97.12.9783.2...3.2645...,153264978897153642264897531536789214789421365421536897645978123978312456312645789,Easy
.975.1462..497....1..6.279.6.5789.13.7.12.5.6312.5...9..92.4.35.36..7.2..21.6.98.,897531462264978351153642798645789213978123546312456879789214635536897124421365987,Easy
.315.49878..231..4.64...3.1...78.13..89.1..4.3154....914..53798653.78.1..7.1.25..,231564987897231654564897321426789135789315246315426879142653798653978412978142563,Easy
46.8..5137.81.36.4.51..49878..31.46.213..5...5..97.1..63.7.9.419.742...6.2..3..79,462897513798153624351264987879312465213645798546978132635789241987421356124536879,Easy
4.21537...98.64.5...18.746..3..2.9.71..7.96359875..1..8.9.4.21321...8.4.54.31...9,462153798798264351351897462635421987124789635987536124879645213213978546546312879,Easy
42..517.931...84..7.9..2.15.9.54..312...795.4.64...8976.31...78..29.7.53..863514.,426351789315798426789462315897546231231879564564213897653124978142987653978635142,Easy
.4615.9..87.264.3.1.58.7...9.7..512..5.3...8.32..784.64.278..65.9..362.4.63.21.97,246153978879264531135897642987645123654312789321978456412789365798536214563421897,Easy
.8..6514..362.4.7.42..9.6539..4562....51..89731..895..26..3.7.91.3..8..68.764..15,789365142536214978421897653978456231645123897312789564264531789153978426897642315,Easy
41....8.95..97.2.179.1423...3..269....67.951.879..5.24.5..971.23..564.98987.3..6.,412653879563978241798142356135426987246789513879315624654897132321564798987231465,Easy
89...41.5...89.2..2.4.538.9..9...412.364.1.9..2178.56..7.64..2131...8.54.453129.7,897264135153897246264153879789536412536421798421789563978645321312978654645312987,Easy
.9...26..5.497..12231.4.9.8653....21.42.367899..4.1.36.2..97.533...6.897.8.153...,897312645564978312231645978653789421142536789978421536426897153315264897789153264,Easy
..68972....92..3.5421.658....4..853.8975.1.4.15.6...7..12.56..997.12..56.457891..,536897214789214365421365897264978531897531642153642978312456789978123456645789123,Easy
.24798..36..41297...7.631.279.2...1535.....264.213.7.9..9..4231..3987.6...63...97,124798653635412978987563142798246315351879426462135789879654231213987564546321897,Easy
21.53..97...4213.5.657...1.1....57.9.56.78.2..8.3.24..6.2.97.3197..53..2531.6.978,214536897897421365365789214123645789456978123789312456642897531978153642531264978,Easy
....4251.64.53...7..19..62..652.4.7...4.9.35.89736..41...1.379812.789.6.7894...32,978642513642531987531978624365214879214897356897365241456123798123789465789456132,Easy
642..8.5..3.4.2897.7835.2....4..5...8971.4.36..598.4211.35....878.213.4.4.6.79..2,642798153531462897978351264214635789897124536365987421123546978789213645456879312,Easy
.7.5316..64.978.31.3..4.9781.34567..7.9..34..4...8.123.658.7..4..436..9.8...143.5,978531642642978531531642978123456789789123456456789123365897214214365897897214365,Easy
6..53...951..7.4.6.87.4.31....21497.241.97.538....5142.984.62..132.8...446.1..89.,624531789513978426987642315356214978241897653879365142798456231132789564465123897,Easy
79831.6...3...5.7.4..9.8..2..153678.8.9..1..635.78.4.162.8.715...3.6489.98..53.64,798312645132645978465978312241536789879421536356789421624897153513264897987153264,Easy
.4..6.879.7921.3..356.9..4.5.364.98.9..531..4624..8.1...8.234.51.2.56.98.657....2,241365879879214356356897241513642987987531624624978513798123465132456798465789132,Easy
3.52...78.148796.3.9...6142.5..3.8..7..46523.12.7...6.978..431...198.426..25.3..9,365241978214879653897356142456132897789465231123798564978624315531987426642513789,Easy
879..1.26..54.2.892467..31.6...79...321.4...7..7.1.56.5.3.8.142798.246..4..63.9.8,879351426135462789246798315654879231321546897987213564563987142798124653412635978,Easy
98765..2.6....29.....9.86.54.2.157.879842.....5178.462213.9.5..54.2.1.7....56.213,987653124635142987124978635462315798798426351351789462213897546546231879879564213,Easy
.1279..6.9.8.6...264.13..981....76..2.45.3..78.76.4513..6.4.879.8.356.4.4.1.7935.,312798465978465132645132798153987624264513987897624513536241879789356241421879356,Easy
79...6.13.5.87..2.462.3.9871.47.83....756.2.163541...98...54...2.39..46...63.1798,798246513351879624462135987124798356987563241635412879879654132213987465546321798,Easy
..26.5.97..83.2..446...82.1624.9..1.51..6.7.9987...426.5.7.91.22..53697.8.9.2165.,132645897798312564465978231624897315513264789987153426356789142241536978879421653,Easy
563.9..214...65.8..9.2145.61.56.2..7...53.26.24...8.53..71.3..5..47893.2.21.5.978,563897421412365789798214536135642897879531264246978153987123645654789312321456978,Easy
.62..5897351.8..647..42615.2.38.7..554..3.9..8..56.31.1..9..536.87...4.1.3.1.2.89,462315897351789264798426153213897645546231978879564312124978536987653421635142789,Easy
.361.497..896.5..24.1.87.5.1...984.689..6.3...6435...9.4.21.897978.462.131.....6.,536124978789635142421987653153798426897462315264351789645213897978546231312879564,Easy
9..63..4.1.29.7..3.5....9785.4.1..9723.879564.97..62.1...7984.678.462...4.6..1.89,978635142142987653653124978564213897231879564897546231315798426789462315426351789,Easy
8..351...1...6.7.9.64.98....78..35646.5.79..131...68975..98..427.91.465342...59.8,897351426153462789264798315978213564645879231312546897536987142789124653421635978,Easy
9.83..45.3126.5..96.5978....2153.8..53.7..2.47...2136.8.....64...326.9782.4897.3.,978312456312645789645978123421536897536789214789421365897153642153264978264897531,Easy
..15.68.7..9.2136.5...8...464.97.12397...245..12645...26.897.3189.1..6.21.3...97.,421536897789421365536789214645978123978312456312645789264897531897153642153264978,Easy
89.46.3..26...17..1..7984..645.1...7.1...9564..8.4..31.8.63514.421.8..5.536124..8,897462315264351789153798426645213897312879564978546231789635142421987653536124978,Easy
142.98.3.97.5...21.5.4...89.2.135..778.2.6.533158..26...765..1..64.219....19..645,142798536978563421653412789426135897789246153315879264897654312564321978231987645,Easy
.4.123...879..62..2.3..954.4..5...983.19.8.6..986423.1.2489...5.8..6.1246.5.1.987,546123879879456213213789546462531798351978462798642351124897635987365124635214987,Easy
.24..95.6..52.17.9...35..21879.6..12.1.7..6455.613.97.7....415.462...8.73.1987.6.,124879536635241789987356421879465312213798645546132978798624153462513897351987264,Easy
..431298.3..9...54987.4..2.56..217...1278.56...85.64.287.26.1...35..72..2..15.879,654312987321978654987645321563421798412789563798536412879264135135897246246153879,Easy
...213.9.8.7....31..18.9564.157.8..6.8..6231542635..8.6..12..789.86...4.14.9.76.3,564213897897546231231879564315798426789462315426351789653124978978635142142987653,Easy
9..24......587..14.2.3.68.746..8.531.51624.7...851.64.87..3245....4657..5.67.81.3,987241365635879214124356897462987531351624978798513642879132456213465789546798123,Easy
987..5246.24789..55.3.2687..32564.....5..732179.23..5.35.9..4....9142.6..4....7.8,987315246624789135513426879132564987465897321798231654356978412879142563241653798,Easy
87...42.3.139875..546.2...9..75.3.241.4...6...3.412.87...87..6246.13.79.79824.3..,879654213213987546546321879987563124124798635635412987351879462462135798798246351,Easy
78..632...3.4..8.94.17983.68.72.6.13.5.87..2..641..9876...21.9.3.29..4.5.78.5.1.2,789563241536412879421798356897246513153879624264135987645321798312987465978654132,Easy
.65.9..1..32.649787.823164.6..7891.35.3.2.897...3.5..42...53...87.1.2.36..6..84.1,465897312132564978798231645624789153513426897987315264241653789879142536356978421,Easy
.7..5.214.....9..53...41897.9846512...27984..4651...8.9..6.453.6.4.13..8513.87.4.,879356214241879365356241897798465123132798456465132789987624531624513978513987642,Easy
7..1...6353..8.41.42.6..7..89735...61.3..28.92..79813.31..4......82.36546.587932.,789124563536987412421635798897351246153462879264798135312546987978213654645879321,Easy
321.6..9.98..3.56....897..14.2....78.981..6.3.6397.1.2.35..67.92.678.31.8.93.5.26,321564897987231564654897231412653978798142653563978142135426789246789315879315426,Easy
3.17.9.64462.1..977...26.5..4.231..8.79.643..213...64..8.6.3..1..514.7.912..785.6,351789264462315897798426153546231978879564312213897645987653421635142789124978536,Easy
9.846.1....51..79.312.9..65.89356.4.4218.....5....187.15...762426451...7.9..24.13,978465132645132798312798465789356241421879356536241879153987624264513987897624513,Easy
.46.8.3122136..9788.932.64.3.1...8.7462..91.3.9.135...63.7..4.198741..36124.6.789,546987312213654978879321645351246897462879153798135264635798421987412536124563789,Easy
79.5.3.4.5..41.87...27..3561...79..42461...8.....46513987.5..32.543.1.983..98.4.5,798563241563412879412798356135879624246135987879246513987654132654321798321987465,Easy
6.478.....87.15.2451.42..87.658.7.327.82314...32...798.4.6.38..35.978....7....356,624789513987315624513426987465897132798231465132564798241653879356978241879142356,Easy
89.54....231...56..6..138.79.8.351.2.5312..78..29.7.53..94.23..3..7..4.6426351.8.,897546231231879564564213897978635142653124978142987653789462315315798426426351789,Easy
.24.31879.1.9.82..9.764...54.5..3........6.211327.965.879..5.12241.9...33...14798,624531879513978246987642135465123987798456321132789654879365412241897563356214798,Easy
89.4.23.12.43.1...153798..2.3.1.49877896351....1....3.3.28.954......6.1..45.1.879,897462351264351798153798462536124987789635124421987635312879546978546213645213879,Easy
...6249...78.13.42.429.75.1.65.7...48..2.1.65214..68.778....45.12.46.7..45.7.8.23,531624978978513642642987531365879214897241365214356897789132456123465789456798123,Easy
.4263...7.5..87.1.97.1243..8.72.34.6....46.895.487....42679..31...3.1642.15..29.8,142635897653987214978124365897213456231546789564879123426798531789351642315462978,Easy
.63..1..9....5.42141.87.5.613..87...87962.1...4651.89.3....86.565413.97.9.7..5.12,563241789798356421412879536135987264879624153246513897321798645654132978987465312,Easy
1352469..24..7..1.8.9.35624.9.41.35.5.3..8.414125....9.21...79.6..9.71.298.3....5,135246987246879513879135624798412356563798241412563879321654798654987132987321465,Easy
9.831..4.5...2.879.4.7..1.5.97..256...465..9836..78.12123..4...78.2.165...6.97321,978315246531426879642789135897142563214653798365978412123564987789231654456897321,Easy
6.4..813.3....5...98.31246.7984.1....1253...9..3789.4.24..9.5.3.7915.6.4.35.6.987,654978132321645798987312465798421356412536879563789241246897513879153624135264987,Easy
.4.7.9..56...2189..78.3.2147..26.53...5897..2426.5..788.7645123.31...4....4..2.89,142789365653421897978536214789264531315897642426153978897645123231978456564312789,Easy
.97.5.....3..8.6545.4123.8..7836...2653..4.981....7563..59782..7...42135426.3...9,897456321231789654564123987978365412653214798142897563315978246789642135426531879,Easy
23..87.64.97..423....32189..8...6315.26.3.78..15879.2.9.8563.4..4.7.8.5365.4.....,231987564897654231564321897789246315426135789315879426978563142142798653653412978,Easy
97.13.6.26.287...1.312.697..65.98.......638.7.97...3.5789..145.1..654.89456..7.2.,978135642642879531531246978365798214214563897897412365789321456123654789456987123,Easy
789.....5..5.792464.613.8..6..412.9..4.79.5.39.8..34.2.9.65432.2.19.7...564...987,789246135315879246426135879653412798142798563978563412897654321231987654564321987,Easy
.35...214987.42..5...65.8.754..97.232.3..478.87.2.145.7.83156..351......4.2789...,635978214987142365124653897546897123213564789879231456798315642351426978462789531,Easy
456...8.91...98.....946.213.3..87.6.64..13.9.978..4.51.148.96....5.4198789.3.6.24,456132879123798546789465213531987462642513798978624351214879635365241987897356124,Easy
..924.5...3.879.1.4.13.67.86.5798.21..81.26.4.12.6.9.7.5.62...98.751..46.6....135,789241563536879412421356798645798321978132654312465987153624879897513246264987135,Easy
.895.64....17...63536421..8..53....7...645.2131...86.4.97.6413...3897...2641.38.9,789536412421789563536421798645312987978645321312978654897264135153897246264153879,Easy
14.53.8...53.892..9.84...65..497812.897.124.6.31.45..9.26...53...915.64.31...4.7.,142536897653789214978421365564978123897312456231645789426897531789153642315264978,Easy
.1.879.4597..4.312.45.1..7.5361..7.9..96..42..2.987.3689.4....315379....2.4.518..,312879645978546312645213978536124789789635421421987536897462153153798264264351897,Easy
7.82.15.64..3..7..5...7942.987..26..6....8312.2.465..82469.7..3.3...489787.51.2.4,798241536412356789563879421987132645654798312321465978246987153135624897879513264,Easy
62..5.87.98.2.413.5...972.6...4217988.9.3..1..417.95.313....6.4.9.645...46.31..87,624153879987264135513897246356421798879536412241789563132978654798645321465312987,Easy
13287..647.85.6.....5.13.9.6..35178..137984...874..31.356.24...87....14224.9....3,132879564798546231465213897624351789513798426987462315356124978879635142241987653,Easy
635.2197.98753...2.2.7.965335..9..2...8.64..5...1..78987...5.312..97..6.5463..89.,635421978987536142124789653351897426798264315462153789879645231213978564546312897,Easy
...24.5.36..8794..142..67...3.4.5.87897.3.....647.832...6.871357.9513..63.5..48.9,978241563653879412142356798231465987897132654564798321426987135789513246315624879,Easy
1249.73...8..35.1.6..1.489.462.5197..5.7.864.7..46...1879...12..462...89.1.87..56,124987365987635214635124897462351978351798642798462531879546123546213789213879456,Easy
42.8796..536.41.78.8..5.1.26.51..8.7978..5.3..12.98..4....137.915.9..42.8..624..5,421879653536241978789356142645132897978465231312798564264513789153987426897624315,Easy
8.9421.3....789.212.153.7894.5.7831..3...597..9..126.5.13.6.89.98.1....462..97...,879421536356789421241536789465978312132645978798312645513264897987153264624897153,Easy
97.214.3.6..89..21.42..5.8.2..4569.88.712.6..56.7.9.....69.81.3315.42.9.7.953...4,978214536653897421142365789231456978897123645564789312426978153315642897789531264,Easy
...513..93...8.42.798..43.5879.6.2...4613.8...1.7.856...48.965363.241.7.9873...4.,462513789351987426798624315879465231546132897213798564124879653635241978987356142,Easy
24..98..6.7.56..213.64.27...986.43.21.29..6.546.32.97.9.7.4.....138..26.6..1.5897,241798536879563421356412789798654312132987645465321978987246153513879264624135897,Easy
4.2..813..5....87979.3.1..6.792..65..13.469....68.9321.8..24.631..6.57.863.98.41.,462798135351462879798351246879213654213546987546879321987124563124635798635987412,Easy
1......9879.23...5.658.7132..34...879.73156..62.7..5.324.6..8.9.56978...8...42356,132564798798231465465897132513426987987315624624789513241653879356978241879142356,Easy
6..23187...28..54697.5...13.21.7.635..9.53.24.3.14..87.5...94.28.74.6..12.4.1.7.8,645231879312897546978564213421978635789653124536142987153789462897426351264315798,Easy
.4.7985..1354..9878.93.1.24.87..34.53.1..6...6.48.9.32....8724.41.63.8.9.9..2.35.,246798513135462987879351624987213465321546798654879132563987241412635879798124356,Easy
.9...51.4..512.9.721.987.3..31.9.46...846...16..3.179878...6.1345.213..9.2..795.6,897635124365124987214987635531798462978462351642351798789546213456213879123879546,Easy
.1.89.5.65...31.79.79...2.3.249...3563...29.7...653.2.462...79.3..7894.279842..51,213897546546231879879564213124978635635142987987653124462315798351789462798426351,Easy
7.8.213564...36879.63....411.5..4.8..7..5.6.424..97.13.5497..3.9..3.246.3.16..7.8,798421356412536879563789241135264987879153624246897513654978132987312465321645798,Easy
.78..15..6.5897..131.56.89.....781.2.891.265342.6....88..3154.61.3.26..9..4...315,978231564645897231312564897536978142789142653421653978897315426153426789264789315,Easy
